,date,home_team,away_team,home_odds,away_odds,best_price_home,best_price_away,result,closing_home,closing_away,total,fair_home,fair_away,edge_home,edge_away
0,2026-07-10,Wests Tigers,New Zealand Warriors,3.15,1.35,3.35,1.43,,,,1.0582010582010581,3.333333333333333,1.4285714285714286,0.5,0.1
1,2026-07-11,Dolphins,Cronulla Sutherland Sharks,1.57,2.42,1.63,2.5,,,,1.0501658156551035,1.6487603305785126,2.5414012738853504,-1.1400000000000001,-1.63
2,2026-07-11,Canterbury Bulldogs,Canberra Raiders,1.55,2.46,1.58,2.54,,,,1.0516653553632311,1.6300813008130084,2.5870967741935487,-3.0700000000000003,-1.82
3,2026-07-11,Sydney Roosters,Parramatta Eels,1.24,3.92,1.23,4.9,,,,1.0615536537195525,1.3163265306122451,4.161290322580646,-6.5600000000000005,17.75
4,2026-07-12,Newcastle Knights,South Sydney Rabbitohs,1.83,2.0,1.89,2.02,,,,1.046448087431694,1.915,2.092896174863388,-1.31,-3.4799999999999995
5,2026-07-12,Manly Warringah Sea Eagles,North Queensland Cowboys,1.49,2.62,1.56,2.58,,,,1.0528203289102924,1.5687022900763357,2.7583892617449663,-0.5499999999999999,-6.47
6,2026-07-12,Melbourne Storm,Gold Coast Titans,1.36,3.12,1.37,3.45,,,,1.0558069381598791,1.4358974358974357,3.294117647058823,-4.590000000000001,4.73
